,Date,Discharge_cfs
0,2016-01-01,385.0
1,2016-01-02,385.0
2,2016-01-03,385.0
3,2016-01-04,385.0
4,2016-01-05,385.0
5,2016-01-06,385.0
6,2016-01-07,385.0
7,2016-01-08,385.0
8,2016-01-09,385.0
9,2016-01-10,385.0
10,2016-01-11,385.0
11,2016-01-12,385.0
12,2016-01-13,385.0
13,2016-01-14,385.0
14,2016-01-15,385.0
15,2016-01-16,385.0
16,2016-01-17,385.0
17,2016-01-18,385.0
18,2016-01-19,385.0
19,2016-01-20,385.0
20,2016-01-21,385.0
21,2016-01-22,385.0
22,2016-01-23,385.0
23,2016-01-24,385.0
24,2016-01-25,385.0
25,2016-01-26,385.0
26,2016-01-27,385.0
27,2016-01-28,385.0
28,2016-01-29,385.0
29,2016-01-30,385.0
30,2016-01-31,385.0
31,2016-02-01,385.0
32,2016-02-02,385.0
33,2016-02-03,385.0
34,2016-02-04,385.0
35,2016-02-05,385.0
36,2016-02-06,385.0
37,2016-02-07,385.0
38,2016-02-08,385.0
39,2016-02-09,385.0
40,2016-02-10,385.0
41,2016-02-11,385.0
42,2016-02-12,385.0
43,2016-02-13,385.0
44,2016-02-14,385.0
45,2016-02-15,385.0
46,2016-02-16,385.0
47,2016-02-17,385.0
48,2016-02-18,385.0
49,2016-02-19,385.0
50,2016-02-20,385.0
51,2016-02-21,385.0
52,2016-02-22,385.0
53,2016-02-23,385.0
54,2016-02-24,385.0
55,2016-02-25,385.0
56,2016-02-26,385.0
57,2016-02-27,385.0
58,2016-02-28,385.0
59,2016-02-29,385.0
60,2016-03-01,385.0
61,2016-03-02,385.0
62,2016-03-03,385.0
63,2016-03-04,385.0
64,2016-03-05,385.0
65,2016-03-06,385.0
66,2016-03-07,385.0
67,2016-03-08,385.0
68,2016-03-09,385.0
69,2016-03-10,385.0
70,2016-03-11,385.0
71,2016-03-12,385.0
72,2016-03-13,385.0
73,2016-03-14,385.0
74,2016-03-15,385.0
75,2016-03-16,385.0
76,2016-03-17,385.0
77,2016-03-18,385.0
78,2016-03-19,385.0
79,2016-03-20,385.0
80,2016-03-21,385.0
81,2016-03-22,385.0
82,2016-03-23,385.0
83,2016-03-24,385.0
84,2016-03-25,385.0
85,2016-03-26,385.0
86,2016-03-27,385.0
87,2016-03-28,385.0
88,2016-03-29,385.0
89,2016-03-30,385.0
90,2016-03-31,385.0
91,2016-04-01,385.0
92,2016-04-02,385.0
